"sysdate","variable","municipio","value"
2022-01-19,"diesel","Guadalajara",21.9244642857143
2022-01-20,"diesel","Guadalajara",21.9325
2022-01-21,"diesel","Guadalajara",21.9405357142857
2022-01-22,"diesel","Guadalajara",21.9471428571429
2022-01-23,"diesel","Guadalajara",21.9519642857143
2022-01-24,"diesel","Guadalajara",21.9376785714286
2022-01-25,"diesel","Guadalajara",21.95375
2022-01-26,"diesel","Guadalajara",21.9694642857143
2022-01-27,"diesel","Guadalajara",21.9648214285714
2022-01-28,"diesel","Guadalajara",21.9683928571429
2022-01-29,"diesel","Guadalajara",21.9635714285714
2022-01-30,"diesel","Guadalajara",21.9780357142857
2022-01-31,"diesel","Guadalajara",21.96375
2022-02-01,"diesel","Guadalajara",21.9780357142857
2022-02-02,"diesel","Guadalajara",22.0108928571429
2022-01-01,"premium","Guadalajara",23.1053968253968
2022-01-02,"premium","Guadalajara",23.1303174603175
2022-01-03,"premium","Guadalajara",23.1181746031746
2022-01-04,"premium","Guadalajara",23.1251587301587
2022-01-05,"premium","Guadalajara",23.1421428571429
2022-01-06,"premium","Guadalajara",23.1629365079365
2022-01-07,"premium","Guadalajara",23.1716666666667
2022-01-08,"premium","Guadalajara",23.1869841269841
2022-01-09,"premium","Guadalajara",23.1927777777778
2022-01-10,"premium","Guadalajara",23.195873015873
2022-01-11,"premium","Guadalajara",23.1703968253968
2022-01-12,"premium","Guadalajara",23.2097619047619
2022-01-13,"premium","Guadalajara",23.2205555555556
2022-01-14,"premium","Guadalajara",23.2261111111111
2022-01-15,"premium","Guadalajara",23.2265873015873
2022-01-16,"premium","Guadalajara",23.2284126984127
2022-01-17,"premium","Guadalajara",23.2296825396825
2022-01-18,"premium","Guadalajara",23.2337301587302
2022-01-19,"premium","Guadalajara",23.2570634920635
2022-01-20,"premium","Guadalajara",23.2701587301587
2022-01-21,"premium","Guadalajara",23.2738888888889
2022-01-22,"premium","Guadalajara",23.2864285714286
2022-01-23,"premium","Guadalajara",23.2903174603175
2022-01-24,"premium","Guadalajara",23.2895238095238
2022-01-25,"premium","Guadalajara",23.2953968253968
2022-01-26,"premium","Guadalajara",23.3019047619048
2022-01-27,"premium","Guadalajara",23.3071428571429
2022-01-28,"premium","Guadalajara",23.3089682539683
2022-01-29,"premium","Guadalajara",23.3001587301587
2022-01-30,"premium","Guadalajara",23.3194444444444
2022-01-31,"premium","Guadalajara",23.3202380952381
2022-02-01,"premium","Guadalajara",23.3429365079365
2022-02-02,"premium","Guadalajara",23.3310317460317
2022-01-01,"regular","Guadalajara",20.898992248062
2022-01-02,"regular","Guadalajara",20.9282170542636
2022-01-03,"regular","Guadalajara",20.9231782945736
2022-01-04,"regular","Guadalajara",20.9351937984496
2022-01-05,"regular","Guadalajara",20.9878294573643
2022-01-06,"regular","Guadalajara",21.0073643410853
2022-01-07,"regular","Guadalajara",21.0072868217054
2022-01-08,"regular","Guadalajara",21.0057364341085
2022-01-09,"regular","Guadalajara",20.9878294573643
2022-01-10,"regular","Guadalajara",20.9848062015504
2022-01-11,"regular","Guadalajara",20.9837984496124
2022-01-12,"regular","Guadalajara",20.9815503875969
2022-01-13,"regular","Guadalajara",20.9628682170543
2022-01-14,"regular","Guadalajara",20.9932558139535
2022-01-15,"regular","Guadalajara",20.9991472868217
