cve_ent,entidad,fecha,org,vivienda,creditos,monto,lcreditos,lmonto
1,Aguascalientes,01/04/2016,INFONAVIT,Usada,446,125544290.2468,,
1,Aguascalientes,01/04/2016,ISSFAM,Usada,3,1387750,,
1,Aguascalientes,01/04/2016,SHF,Usada,,,,
1,Aguascalientes,01/05/2016,BANCA,Nueva,25,16410226,,
1,Aguascalientes,01/05/2016,BANJERCITO,Nueva,1,460637.4375,,
1,Aguascalientes,01/05/2016,CFE,Nueva,,,,
1,Aguascalientes,01/05/2016,CONAVI,Nueva,12,824517.1716999999,,
1,Aguascalientes,01/05/2016,FONHAPO,Nueva,,,,
1,Aguascalientes,01/05/2016,FOVISSSTE,Nueva,40,21947733.0156,,
1,Aguascalientes,01/05/2016,HABITATMEXICO,Nueva,,,,
1,Aguascalientes,01/05/2016,INFONAVIT,Nueva,220,68811160.0323,,
1,Aguascalientes,01/05/2016,ISSFAM,Nueva,,,,
1,Aguascalientes,01/05/2016,SHF,Nueva,,,,
1,Aguascalientes,01/05/2016,BANCA,Usada,207,156866761,,
1,Aguascalientes,01/05/2016,BANJERCITO,Usada,1,327265.5,,
1,Aguascalientes,01/05/2016,CFE,Usada,,,,
1,Aguascalientes,01/05/2016,CONAVI,Usada,178,10904306.6894,,
1,Aguascalientes,01/05/2016,FONHAPO,Usada,,,,
1,Aguascalientes,01/05/2016,FOVISSSTE,Usada,102,54837694.891,,
1,Aguascalientes,01/05/2016,HABITATMEXICO,Usada,,,,
1,Aguascalientes,01/05/2016,INFONAVIT,Usada,361,100720755.0983,,
1,Aguascalientes,01/05/2016,ISSFAM,Usada,,,,
1,Aguascalientes,01/05/2016,SHF,Usada,,,,
1,Aguascalientes,01/06/2016,BANCA,Nueva,47,32702825,,
1,Aguascalientes,01/06/2016,BANJERCITO,Nueva,,,,
1,Aguascalientes,01/06/2016,CFE,Nueva,,,,
1,Aguascalientes,01/06/2016,CONAVI,Nueva,29,1780652.5916,,
1,Aguascalientes,01/06/2016,FONHAPO,Nueva,,,,
1,Aguascalientes,01/06/2016,FOVISSSTE,Nueva,18,9670854.2031,,
1,Aguascalientes,01/06/2016,HABITATMEXICO,Nueva,,,,
1,Aguascalientes,01/06/2016,INFONAVIT,Nueva,254,75213832.5949,,
1,Aguascalientes,01/06/2016,ISSFAM,Nueva,,,,
1,Aguascalientes,01/06/2016,SHF,Nueva,,,,
1,Aguascalientes,01/06/2016,BANCA,Usada,167,134658678,,
1,Aguascalientes,01/06/2016,BANJERCITO,Usada,,,,
1,Aguascalientes,01/06/2016,CFE,Usada,,,,
1,Aguascalientes,01/06/2016,CONAVI,Usada,504,31589612.0853,,
1,Aguascalientes,01/06/2016,FONHAPO,Usada,,,,
1,Aguascalientes,01/06/2016,FOVISSSTE,Usada,106,55136497.7347,,
1,Aguascalientes,01/06/2016,HABITATMEXICO,Usada,,,,
1,Aguascalientes,01/06/2016,INFONAVIT,Usada,648,166806380.9813,,
1,Aguascalientes,01/06/2016,ISSFAM,Usada,1,360000,,
1,Aguascalientes,01/06/2016,SHF,Usada,37,0,,
1,Aguascalientes,01/07/2016,BANCA,Nueva,35,19090973,,
1,Aguascalientes,01/07/2016,BANJERCITO,Nueva,,,,
1,Aguascalientes,01/07/2016,CFE,Nueva,1,728312,,
1,Aguascalientes,01/07/2016,CONAVI,Nueva,45,2707060.737,,
1,Aguascalientes,01/07/2016,FONHAPO,Nueva,,,,
1,Aguascalientes,01/07/2016,FOVISSSTE,Nueva,14,7489974.2813,,
1,Aguascalientes,01/07/2016,HABITATMEXICO,Nueva,,,,
1,Aguascalientes,01/07/2016,INFONAVIT,Nueva,228,67467372.286,,
1,Aguascalientes,01/07/2016,ISSFAM,Nueva,,,,
1,Aguascalientes,01/07/2016,SHF,Nueva,,,,
1,Aguascalientes,01/07/2016,BANCA,Usada,136,111361760,,
1,Aguascalientes,01/07/2016,BANJERCITO,Usada,,,,
1,Aguascalientes,01/07/2016,CFE,Usada,,,,
1,Aguascalientes,01/07/2016,CONAVI,Usada,211,13040270.8383,,
1,Aguascalientes,01/07/2016,FONHAPO,Usada,,,,
1,Aguascalientes,01/07/2016,FOVISSSTE,Usada,91,45259289.5784,,
1,Aguascalientes,01/07/2016,HABITATMEXICO,Usada,,,,
1,Aguascalientes,01/07/2016,INFONAVIT,Usada,324,90329592.5282,,
1,Aguascalientes,01/07/2016,ISSFAM,Usada,2,1141930,,
1,Aguascalientes,01/07/2016,SHF,Usada,,,,
1,Aguascalientes,01/08/2016,BANCA,Nueva,47,35758083,,
1,Aguascalientes,01/08/2016,BANJERCITO,Nueva,,,,
1,Aguascalientes,01/08/2016,CFE,Nueva,,,,
1,Aguascalientes,01/08/2016,CONAVI,Nueva,16,995096.9394,,
1,Aguascalientes,01/08/2016,FONHAPO,Nueva,,,,
1,Aguascalientes,01/08/2016,FOVISSSTE,Nueva,25,14858524.9532,,
1,Aguascalientes,01/08/2016,HABITATMEXICO,Nueva,,,,
1,Aguascalientes,01/08/2016,INFONAVIT,Nueva,259,77692198.274,,
1,Aguascalientes,01/08/2016,ISSFAM,Nueva,,,,
1,Aguascalientes,01/08/2016,SHF,Nueva,,,,
1,Aguascalientes,01/08/2016,BANCA,Usada,188,144446276,,
1,Aguascalientes,01/08/2016,BANJERCITO,Usada,2,1065000,,
1,Aguascalientes,01/08/2016,CFE,Usada,,,,
1,Aguascalientes,01/08/2016,CONAVI,Usada,166,10475306.4816,,
1,Aguascalientes,01/08/2016,FONHAPO,Usada,270,20606400,,
1,Aguascalientes,01/08/2016,FOVISSSTE,Usada,107,54642011.0317,,
1,Aguascalientes,01/08/2016,HABITATMEXICO,Usada,,,,
1,Aguascalientes,01/08/2016,INFONAVIT,Usada,370,106430127.2,,
1,Aguascalientes,01/08/2016,ISSFAM,Usada,,,,
1,Aguascalientes,01/08/2016,SHF,Usada,17,0,,
1,Aguascalientes,01/09/2016,BANCA,Nueva,33,18850002,,
1,Aguascalientes,01/09/2016,BANJERCITO,Nueva,,,,
1,Aguascalientes,01/09/2016,CFE,Nueva,3,2443014,,
